x1,x1_mean,condition,binchoice,bincorrect,x2,x2_mean,xavg,estim,binrt,subj,x1_relative,x2_relative
44.875,3,-1,1,0,40.125,4,42.5,NaN,0.462993171298876,1,-5.125,-9.875
52.25,2,-1,1,1,52.125,2,52.1875,NaN,0.445047695073299,1,2.25,2.125
51.875,2,-1,1,1,39.125,4,45.5,NaN,0.505239640944637,1,1.875,-10.875
53.25,2,-1,1,1,53.125,2,53.1875,NaN,0.386743250768632,1,3.25,3.125
44.125,3,-1,1,0,59.375,1,51.75,NaN,1.06954004324507,1,-5.875,9.375
47.375,3,-1,1,0,38.75,4,43.0625,NaN,0.401334520196542,1,-2.625,-11.25
44.75,3,-1,1,0,52.25,2,48.5,NaN,0.600707794190384,1,-5.25,2.25
45.625,3,-1,-1,1,55.5,2,50.5625,NaN,1.28582900098991,1,-4.375,5.5
55.125,2,-1,-1,0,61.75,1,58.4375,NaN,1.16754402022343,1,5.125,11.75
45.125,3,-1,1,0,53.5,2,49.3125,NaN,0.728514341288246,1,-4.875,3.5
48.625,3,-1,1,0,60.5,1,54.5625,NaN,0.46616713097319,1,-1.375,10.5
53.875,2,-1,1,1,59.125,1,56.5,NaN,0.393925234209746,1,3.875,9.125
54.625,2,-1,1,1,41.875,4,48.25,NaN,0.677101831533946,1,4.625,-8.125
52.75,2,-1,1,1,37.625,4,45.1875,NaN,0.742071418557316,1,2.75,-12.375
45.75,3,-1,-1,1,51.625,2,48.6875,NaN,0.911063756910153,1,-4.25,1.625
51.75,2,-1,1,1,44.5,3,48.125,NaN,0.992149913567118,1,1.75,-5.5
53,2,-1,-1,0,42.125,4,47.5625,NaN,0.601266091573052,1,3,-7.875
46,3,-1,-1,1,52.625,2,49.3125,NaN,0.500103656901047,1,-4,2.625
53.5,2,-1,1,1,54.625,2,54.0625,NaN,3.18585675139911,1,3.5,4.625
45.875,3,-1,1,0,45.375,3,45.625,NaN,0.722951818839647,1,-4.125,-4.625
54.25,2,-1,1,1,45.25,3,49.75,NaN,1.1610866477713,1,4.25,-4.75
51,2,-1,-1,0,53.5,2,52.25,NaN,0.859717623330653,1,1,3.5
53,2,-1,1,1,52.75,2,52.875,NaN,0.666562547208741,1,3,2.75
44.875,3,-1,1,0,57.125,1,51,NaN,0.728356151026674,1,-5.125,7.125
45.125,3,-1,-1,1,59.875,1,52.5,NaN,0.818422273499891,1,-4.875,9.875
47.125,3,-1,-1,1,59.25,1,53.1875,NaN,0.55876651336439,1,-2.875,9.25
51,2,-1,-1,0,54.625,2,52.8125,NaN,0.849127271445468,1,1,4.625
46.875,3,-1,1,0,54.5,2,50.6875,NaN,0.537335794768296,1,-3.125,4.5
53.125,2,-1,1,1,58.5,1,55.8125,NaN,0.499838194926269,1,3.125,8.5
50.5,2,-1,1,1,46.125,3,48.3125,NaN,1.19544993969612,1,0.5,-3.875
